student_id,cgpa,branch,college_tier,python_skill,dsa_skill,ml_skill,web_dev_skill,coding_score,communication_score,aptitude_score,internships,projects,backlogs,resume_score,skill_score,placed,company_type,job_role,salary_lpa,placement_status,student_segment,experience_score,has_backlog,academic_risk,salary_tier,readiness_score
S33,8.23,IT,1,1,0,0,0,26.0,6.7,41.9,0,5,1,56.9,1,0,Not Placed,Not Placed,0.0,Not Placed,3. Low Skill + High CGPA,2.0,1,High Risk,Not Placed,11.11
S34,9.55,ECE,2,1,1,1,1,41.8,9.6,92.0,0,1,1,73.6,4,1,MNC,Analyst,89.39,Placed,1. High Skill + High CGPA,0.4,1,High Risk,High,19.869999999999997
S35,9.15,CSE,1,1,0,0,0,1.4,4.5,81.5,1,5,3,59.1,1,0,Not Placed,Not Placed,0.0,Not Placed,3. Low Skill + High CGPA,2.6,1,High Risk,Not Placed,10.08
S36,9.72,Mechanical,3,1,0,0,0,95.4,7.6,53.7,1,2,0,48.9,1,1,Startup,Analyst,48.98,Placed,3. Low Skill + High CGPA,1.4,0,Low Risk,High,25.960000000000004
S37,7.6,IT,3,1,1,0,1,40.3,4.8,41.7,2,5,0,92.5,3,1,Mid-size,Web Developer,74.49,Placed,1. High Skill + High CGPA,3.2,0,Low Risk,High,14.660000000000004
S38,8.18,EEE,3,1,0,1,0,45.1,9.5,57.9,1,1,2,60.0,2,1,MNC,Web Developer,72.91,Placed,3. Low Skill + High CGPA,1.0,1,High Risk,High,16.66
S39,9.9,IT,2,1,0,0,0,7.6,4.8,47.7,0,6,0,51.2,1,1,Startup,Data Scientist,41.93,Placed,3. Low Skill + High CGPA,2.4000000000000004,0,Low Risk,High,7.970000000000001
S40,7.58,IT,3,1,1,0,1,34.5,6.1,41.9,1,5,0,80.4,3,1,MNC,Analyst,82.0,Placed,1. High Skill + High CGPA,2.6,0,Low Risk,High,13.5
S41,9.0,Civil,3,1,0,1,1,6.1,5.7,88.4,2,5,3,92.5,3,1,MNC,Web Developer,87.4,Placed,1. High Skill + High CGPA,3.2,1,High Risk,High,12.580000000000002
S42,8.6,Mechanical,2,0,0,0,1,84.4,8.5,41.8,2,6,0,82.9,1,1,Startup,Analyst,44.29,Placed,3. Low Skill + High CGPA,3.6000000000000005,0,Low Risk,High,23.410000000000004
S43,6.61,IT,1,0,0,0,1,59.4,8.1,87.4,1,4,0,65.2,1,1,Startup,Web Developer,42.16,Placed,4. Low Skill + Low CGPA,2.2,0,Low Risk,High,22.480000000000004
S44,6.42,CSE,1,1,1,0,0,98.7,7.6,54.2,0,6,0,72.7,2,1,MNC,Software Engineer,85.71,Placed,4. Low Skill + Low CGPA,2.4000000000000004,0,Low Risk,High,27.420000000000005
S45,9.21,IT,3,0,0,0,1,89.7,7.5,95.0,0,6,0,59.2,1,1,Startup,Data Scientist,52.07,Placed,3. Low Skill + High CGPA,2.4000000000000004,0,Low Risk,High,29.39
S46,7.86,Civil,2,0,1,0,0,42.5,7.0,54.5,0,2,1,36.9,1,0,Not Placed,Not Placed,0.0,Not Placed,3. Low Skill + High CGPA,0.8,1,High Risk,Not Placed,15.25
S47,9.66,Mechanical,1,0,1,0,0,54.9,7.3,52.1,1,4,0,63.7,1,1,Startup,Web Developer,47.02,Placed,3. Low Skill + High CGPA,2.2,0,Low Risk,High,17.970000000000002
S48,7.06,EEE,3,0,1,1,1,12.4,8.4,96.3,0,3,2,72.4,3,0,Not Placed,Not Placed,0.0,Not Placed,2. High Skill + Low CGPA,1.2000000000000002,1,High Risk,Not Placed,14.3
S49,8.91,EEE,3,1,1,1,1,18.6,5.4,78.0,3,1,1,90.1,4,1,MNC,Analyst,80.4,Placed,1. High Skill + High CGPA,2.1999999999999997,1,High Risk,High,13.860000000000003
S50,6.51,Mechanical,1,1,1,0,1,38.4,7.3,94.4,1,3,0,75.2,3,1,Mid-size,Software Engineer,55.36,Placed,2. High Skill + Low CGPA,1.8000000000000003,0,Low Risk,High,19.35
S51,7.48,Civil,3,1,1,1,1,70.7,8.7,48.6,0,2,1,79.9,4,1,Mid-size,Analyst,56.61,Placed,2. High Skill + Low CGPA,0.8,1,High Risk,High,21.37
S52,5.64,Civil,2,1,1,0,0,72.2,8.3,78.5,1,4,1,75.9,2,1,Mid-size,Software Engineer,56.36,Placed,4. Low Skill + Low CGPA,2.2,1,High Risk,High,24.470000000000002
S53,7.12,ECE,2,0,1,1,0,10.1,5.5,83.6,1,4,0,68.5,2,1,Mid-size,Data Scientist,49.91,Placed,4. Low Skill + Low CGPA,2.2,0,Low Risk,High,12.28
S54,8.03,EEE,1,1,1,1,1,45.1,4.7,99.1,2,6,1,102.4,4,1,MNC,Analyst,86.2,Placed,1. High Skill + High CGPA,3.6000000000000005,1,High Risk,High,21.800000000000004
S55,8.72,Mechanical,1,0,1,0,0,41.5,9.2,95.4,1,3,1,62.1,1,1,Startup,Software Engineer,43.04,Placed,3. Low Skill + High CGPA,1.8000000000000003,1,High Risk,High,19.660000000000004
S56,5.88,Civil,2,1,0,1,0,58.1,7.8,40.8,1,1,2,54.9,2,0,Not Placed,Not Placed,0.0,Not Placed,4. Low Skill + Low CGPA,1.0,1,High Risk,Not Placed,17.380000000000003
S57,5.43,Civil,3,1,1,0,0,75.0,5.3,93.9,0,5,0,59.7,2,1,MNC,Data Scientist,71.12,Placed,4. Low Skill + Low CGPA,2.0,0,Low Risk,High,26.270000000000003
S58,7.64,IT,2,1,1,0,1,10.3,6.0,44.5,2,2,0,79.4,3,1,MNC,Data Scientist,71.19,Placed,1. High Skill + High CGPA,2.0,0,Low Risk,High,8.61
S59,8.29,Mechanical,3,0,0,0,1,2.0,4.6,88.0,0,1,0,31.0,1,0,Not Placed,Not Placed,0.0,Not Placed,3. Low Skill + High CGPA,0.4,0,Low Risk,Not Placed,10.110000000000001
S60,9.94,CSE,3,1,1,1,1,14.1,6.4,59.4,0,2,0,66.3,4,1,MNC,Analyst,81.42,Placed,1. High Skill + High CGPA,0.8,0,Low Risk,High,10.900000000000002
S61,9.46,EEE,1,1,0,0,0,59.0,5.6,77.4,1,6,0,70.4,1,1,Startup,Software Engineer,53.15,Placed,3. Low Skill + High CGPA,3.0000000000000004,0,Low Risk,High,21.450000000000003
S62,5.57,ECE,2,1,1,0,0,48.5,7.1,84.5,1,1,0,52.7,2,1,Mid-size,Data Scientist,57.42,Placed,4. Low Skill + Low CGPA,1.0,0,Low Risk,High,19.760000000000005
S63,6.36,CSE,1,0,1,0,0,27.4,7.3,79.1,2,5,0,73.3,1,1,Startup,Software Engineer,49.41,Placed,4. Low Skill + Low CGPA,3.2,0,Low Risk,High,15.47
S64,8.0,CSE,3,1,0,1,0,38.3,7.1,42.8,0,3,0,52.2,2,1,MNC,Web Developer,83.35,Placed,3. Low Skill + High CGPA,1.2000000000000002,0,Low Risk,High,13.7
S65,9.58,CSE,3,1,1,1,0,95.4,4.8,69.0,0,4,0,67.8,3,1,Mid-size,Data Scientist,55.88,Placed,1. High Skill + High CGPA,1.6,0,Low Risk,High,27.96
S66,7.37,IT,3,0,0,0,1,59.8,6.8,44.6,0,4,0,48.1,1,1,Startup,Web Developer,39.45,Placed,4. Low Skill + Low CGPA,1.6,0,Low Risk,High,18.0
S67,9.59,Mechanical,1,0,1,0,0,54.2,9.2,83.9,2,5,0,86.1,1,1,Startup,Analyst,46.39,Placed,3. Low Skill + High CGPA,3.2,0,Low Risk,High,21.500000000000004
S68,9.94,Mechanical,3,1,0,1,1,18.1,7.4,94.9,0,5,1,74.1,3,1,MNC,Web Developer,87.76,Placed,1. High Skill + High CGPA,2.0,1,High Risk,High,15.5
S69,5.27,IT,3,1,1,0,1,36.5,7.4,68.9,2,3,0,89.4,3,1,MNC,Data Scientist,82.78,Placed,2. High Skill + Low CGPA,2.4000000000000004,0,Low Risk,High,16.580000000000002
S70,6.59,Civil,2,1,1,0,0,2.4,9.2,41.3,2,5,0,96.9,2,1,MNC,Web Developer,64.57,Placed,4. Low Skill + Low CGPA,3.2,0,Low Risk,High,7.18
S71,5.19,Civil,3,1,1,0,0,9.2,6.0,71.4,2,1,0,61.5,2,0,Not Placed,Not Placed,0.0,Not Placed,4. Low Skill + Low CGPA,1.6,0,Low Risk,Not Placed,10.63
S72,6.48,ECE,2,0,0,0,1,42.8,6.3,80.8,0,2,1,36.5,1,0,Not Placed,Not Placed,0.0,Not Placed,4. Low Skill + Low CGPA,0.8,1,High Risk,Not Placed,17.870000000000005
S73,9.91,Mechanical,2,1,1,1,1,74.3,4.4,64.1,2,6,0,103.3,4,1,MNC,Software Engineer,76.96,Placed,1. High Skill + High CGPA,3.6000000000000005,0,Low Risk,High,24.11
S74,8.9,IT,1,1,0,1,1,92.8,10.0,50.4,1,2,0,85.0,3,1,Top Tech,Software Engineer,112.85,Placed,1. High Skill + High CGPA,1.4,0,Low Risk,High,25.949999999999996
S75,5.17,ECE,1,1,1,0,0,27.3,6.9,42.7,2,2,1,72.3,2,1,MNC,Data Scientist,73.41,Placed,4. Low Skill + Low CGPA,2.0,1,High Risk,High,11.620000000000001
S76,6.3,Mechanical,1,1,1,0,0,68.3,4.5,91.1,1,6,0,76.7,2,1,Mid-size,Software Engineer,60.27,Placed,4. Low Skill + Low CGPA,3.0000000000000004,0,Low Risk,High,24.869999999999997
S77,9.39,CSE,3,1,1,1,1,70.8,9.0,81.8,1,3,1,88.6,4,1,Mid-size,Software Engineer,56.42,Placed,1. High Skill + High CGPA,1.8000000000000003,1,High Risk,High,25.04
S78,5.64,IT,1,0,1,0,1,83.2,7.0,40.4,0,6,0,71.6,2,1,MNC,Software Engineer,66.63,Placed,4. Low Skill + Low CGPA,2.4000000000000004,0,Low Risk,High,22.88
S79,5.64,ECE,1,0,0,0,1,39.2,5.1,85.2,2,4,0,61.0,1,1,Startup,Data Scientist,43.58,Placed,4. Low Skill + Low CGPA,2.8,0,Low Risk,High,18.07
S80,7.91,ECE,3,0,1,0,1,97.3,9.8,85.0,0,5,0,70.1,2,1,MNC,Web Developer,89.29,Placed,3. Low Skill + High CGPA,2.0,0,Low Risk,High,30.290000000000003
S81,5.01,IT,3,0,1,1,0,85.4,7.2,89.6,0,2,1,48.9,2,0,Not Placed,Not Placed,0.0,Not Placed,4. Low Skill + Low CGPA,0.8,1,High Risk,Not Placed,27.660000000000004
S82,9.34,IT,3,1,0,1,1,85.7,9.8,85.6,1,3,0,88.3,3,1,MNC,Web Developer,73.23,Placed,1. High Skill + High CGPA,1.8000000000000003,0,Low Risk,High,28.18
S83,6.84,IT,2,1,1,1,0,86.9,8.7,86.3,2,4,0,99.1,3,1,Mid-size,Web Developer,76.01,Placed,2. High Skill + Low CGPA,2.8,0,Low Risk,High,28.680000000000007
S84,7.31,IT,1,0,1,0,0,55.8,5.4,49.6,1,5,0,64.2,1,1,Startup,Software Engineer,41.09,Placed,4. Low Skill + Low CGPA,2.6,0,Low Risk,High,17.860000000000003
S85,5.36,Civil,2,1,1,0,0,69.5,9.2,86.8,0,6,1,74.1,2,1,MNC,Analyst,65.27,Placed,4. Low Skill + Low CGPA,2.4000000000000004,1,High Risk,High,25.0
S86,6.05,EEE,2,0,1,1,0,53.4,9.3,45.0,2,2,0,74.2,2,1,Mid-size,Web Developer,67.66,Placed,4. Low Skill + Low CGPA,2.0,0,Low Risk,High,17.310000000000002
S87,5.84,Civil,1,0,1,1,0,93.6,4.3,72.5,2,2,0,65.7,2,1,MNC,Software Engineer,84.67,Placed,4. Low Skill + Low CGPA,2.0,0,Low Risk,High,27.6
S88,7.99,CSE,2,1,1,0,0,43.9,8.3,75.6,1,1,1,57.1,2,1,MNC,Analyst,71.64,Placed,3. Low Skill + High CGPA,1.0,1,High Risk,High,18.07
S89,8.29,CSE,1,1,1,1,0,99.6,9.8,79.0,0,3,0,73.6,3,1,MNC,Data Scientist,77.34,Placed,1. High Skill + High CGPA,1.2000000000000002,0,Low Risk,High,30.15
S90,7.08,IT,3,1,1,1,1,50.5,7.3,70.8,1,2,1,81.8,4,1,Mid-size,Web Developer,60.73,Placed,2. High Skill + Low CGPA,1.4,1,High Risk,High,19.560000000000002
S91,7.96,IT,2,1,0,0,1,73.3,4.8,82.9,3,2,0,79.1,2,1,Mid-size,Data Scientist,62.38,Placed,3. Low Skill + High CGPA,2.5999999999999996,0,Low Risk,High,24.78
S92,9.35,ECE,2,1,1,0,0,16.4,6.3,98.2,0,5,0,64.8,2,1,MNC,Data Scientist,67.0,Placed,3. Low Skill + High CGPA,2.0,0,Low Risk,High,15.08
S93,9.42,CSE,2,1,0,0,1,14.6,6.7,75.3,3,1,0,71.8,2,1,Mid-size,Software Engineer,65.88,Placed,3. Low Skill + High CGPA,2.1999999999999997,0,Low Risk,High,12.32
S94,9.22,CSE,3,1,1,1,0,11.2,5.6,43.4,1,4,0,78.2,3,1,MNC,Software Engineer,65.88,Placed,1. High Skill + High CGPA,2.2,0,Low Risk,High,8.79
S95,7.92,CSE,1,1,0,0,1,1.7,5.9,98.4,1,3,0,64.4,2,1,MNC,Data Scientist,70.15,Placed,3. Low Skill + High CGPA,1.8000000000000003,0,Low Risk,High,11.970000000000002
S96,6.01,EEE,2,1,1,0,1,44.4,9.2,50.6,1,2,0,72.8,3,1,Mid-size,Web Developer,71.63,Placed,2. High Skill + Low CGPA,1.4,0,Low Risk,High,16.21
S97,5.57,IT,2,1,1,0,1,82.7,8.0,74.6,0,2,3,59.5,3,1,MNC,Software Engineer,90.79,Placed,2. High Skill + Low CGPA,0.8,1,High Risk,High,26.000000000000004
S98,7.84,IT,2,1,1,0,0,66.8,8.8,85.7,2,3,1,80.2,2,1,Mid-size,Software Engineer,60.38,Placed,3. Low Skill + High CGPA,2.4000000000000004,1,High Risk,High,24.16
S99,8.05,EEE,2,1,0,0,0,54.6,6.7,40.9,1,6,0,72.7,1,1,Startup,Web Developer,47.95,Placed,3. Low Skill + High CGPA,3.0000000000000004,0,Low Risk,High,17.03
S100,9.24,ECE,2,1,1,0,0,52.7,5.5,68.6,1,6,1,78.7,2,1,Mid-size,Web Developer,61.84,Placed,3. Low Skill + High CGPA,3.0000000000000004,1,High Risk,High,19.6
S101,5.36,IT,1,1,1,0,0,47.9,5.2,50.0,1,5,0,68.7,2,1,MNC,Analyst,70.99,Placed,4. Low Skill + Low CGPA,2.6,0,Low Risk,High,16.6
S102,8.58,IT,1,0,0,0,0,68.1,5.1,71.5,2,1,0,37.9,0,1,Startup,Software Engineer,45.55,Placed,3. Low Skill + High CGPA,1.6,0,Low Risk,High,21.73
S103,7.75,Civil,2,0,1,1,1,81.9,9.3,53.7,0,2,0,66.5,3,1,Mid-size,Software Engineer,63.57,Placed,1. High Skill + High CGPA,0.8,0,Low Risk,High,23.880000000000003
S104,6.51,CSE,3,1,1,0,1,76.7,4.9,65.4,0,1,1,53.3,3,0,Not Placed,Not Placed,0.0,Not Placed,2. High Skill + Low CGPA,0.4,1,High Risk,Not Placed,23.42
S105,5.48,EEE,3,0,1,0,0,23.2,6.3,75.7,1,2,0,49.9,1,0,Not Placed,Not Placed,0.0,Not Placed,4. Low Skill + Low CGPA,1.4,0,Low Risk,Not Placed,13.59
S106,7.21,Mechanical,1,1,1,0,0,81.9,7.6,60.2,3,5,0,93.7,2,1,MNC,Software Engineer,78.17,Placed,4. Low Skill + Low CGPA,3.8,0,Low Risk,High,24.960000000000004
S107,6.77,Mechanical,1,0,1,0,1,23.4,7.2,92.8,1,6,0,81.2,2,1,MNC,Data Scientist,72.56,Placed,4. Low Skill + Low CGPA,3.0000000000000004,0,Low Risk,High,16.33
S108,9.98,CSE,3,1,0,0,0,96.2,7.8,85.3,0,2,0,42.9,1,1,Startup,Software Engineer,45.31,Placed,3. Low Skill + High CGPA,0.8,0,Low Risk,High,29.150000000000006
S109,8.98,Civil,1,1,0,0,0,99.2,9.6,72.4,2,5,0,81.4,1,1,Startup,Web Developer,54.93,Placed,3. Low Skill + High CGPA,3.2,0,Low Risk,High,29.390000000000008
S110,7.53,CSE,3,0,0,0,0,34.2,6.3,60.8,0,1,0,22.9,0,0,Not Placed,Not Placed,0.0,Not Placed,3. Low Skill + High CGPA,0.4,0,Low Risk,Not Placed,13.700000000000001
S111,8.0,IT,3,1,1,0,1,85.1,5.3,95.8,0,2,0,57.6,3,1,Mid-size,Software Engineer,52.15,Placed,1. High Skill + High CGPA,0.8,0,Low Risk,High,28.33
S112,9.09,Mechanical,1,0,0,0,0,95.7,7.4,96.0,1,5,1,61.4,0,1,Startup,Web Developer,48.9,Placed,3. Low Skill + High CGPA,2.6,1,High Risk,High,30.38
S113,5.87,Civil,3,1,0,0,0,6.8,4.2,48.1,3,4,1,68.8,1,0,Not Placed,Not Placed,0.0,Not Placed,4. Low Skill + Low CGPA,3.4,1,High Risk,Not Placed,7.940000000000001
S114,9.68,Mechanical,3,1,0,1,0,1.8,7.6,61.9,1,5,1,77.4,2,0,Not Placed,Not Placed,0.0,Not Placed,3. Low Skill + High CGPA,2.6,1,High Risk,Not Placed,8.81
S115,9.97,ECE,2,0,1,1,0,14.2,4.7,58.2,0,4,0,55.4,2,1,MNC,Data Scientist,65.24,Placed,3. Low Skill + High CGPA,1.6,0,Low Risk,High,10.33
S116,8.28,Civil,3,1,1,1,0,65.4,6.1,71.5,1,5,0,87.9,3,1,MNC,Analyst,81.47,Placed,1. High Skill + High CGPA,2.6,0,Low Risk,High,22.64
S117,7.91,IT,2,1,0,0,0,83.4,7.8,51.9,0,4,0,51.1,1,1,Startup,Web Developer,43.95,Placed,3. Low Skill + High CGPA,1.6,0,Low Risk,High,23.550000000000008
S118,5.75,IT,3,0,1,0,1,81.1,7.7,91.6,1,2,1,67.7,2,1,MNC,Analyst,84.12,Placed,4. Low Skill + Low CGPA,1.4,1,High Risk,High,27.2
S119,6.27,EEE,2,1,0,1,0,63.7,8.0,93.7,1,1,0,59.2,2,1,Mid-size,Software Engineer,61.74,Placed,4. Low Skill + Low CGPA,1.0,0,Low Risk,High,23.810000000000002
S120,5.21,CSE,2,0,1,0,0,1.2,9.7,84.3,1,6,3,83.8,1,1,Startup,Software Engineer,44.96,Placed,4. Low Skill + Low CGPA,3.0000000000000004,1,High Risk,High,10.989999999999998
S121,7.06,CSE,3,1,1,0,0,8.3,7.1,93.9,2,1,3,68.0,2,0,Not Placed,Not Placed,0.0,Not Placed,4. Low Skill + Low CGPA,1.6,1,High Risk,Not Placed,12.81
S122,6.28,IT,3,0,0,1,0,89.6,5.9,47.5,1,2,0,48.5,1,1,Startup,Analyst,49.6,Placed,4. Low Skill + Low CGPA,1.4,0,Low Risk,High,24.009999999999998
S123,5.64,IT,2,0,1,0,0,43.2,6.6,76.8,3,6,2,91.6,1,1,Startup,Software Engineer,42.07,Placed,4. Low Skill + Low CGPA,4.2,1,High Risk,High,18.630000000000003
S124,8.36,IT,2,0,1,0,0,63.6,5.3,98.7,2,6,1,77.5,1,1,Startup,Analyst,49.38,Placed,3. Low Skill + High CGPA,3.6000000000000005,1,High Risk,High,24.620000000000005
S125,9.69,IT,2,0,0,0,1,81.8,5.3,70.4,2,5,0,73.5,1,1,Startup,Analyst,47.14,Placed,3. Low Skill + High CGPA,3.2,0,Low Risk,High,25.28
S126,5.76,Mechanical,3,0,1,1,0,16.1,7.3,88.7,2,3,3,72.9,2,0,Not Placed,Not Placed,0.0,Not Placed,4. Low Skill + Low CGPA,2.4000000000000004,1,High Risk,Not Placed,14.170000000000002
S127,9.0,Mechanical,1,0,1,1,1,18.8,6.1,87.0,1,6,1,91.7,3,1,MNC,Analyst,87.71,Placed,1. High Skill + High CGPA,3.0000000000000004,1,High Risk,High,15.020000000000003
S128,8.39,Civil,1,1,1,0,0,12.5,6.3,78.6,2,6,0,87.8,2,1,Mid-size,Data Scientist,49.88,Placed,3. Low Skill + High CGPA,3.6000000000000005,0,Low Risk,High,12.79
S129,6.78,ECE,1,1,0,0,0,64.2,4.4,74.8,1,4,0,53.1,1,1,Startup,Software Engineer,42.34,Placed,4. Low Skill + Low CGPA,2.2,0,Low Risk,High,21.810000000000002
S130,6.61,Civil,3,1,0,0,1,98.2,5.3,89.5,1,5,0,69.2,2,1,MNC,Data Scientist,73.24,Placed,4. Low Skill + Low CGPA,2.6,0,Low Risk,High,30.620000000000005
S131,8.68,ECE,2,1,1,0,0,63.6,8.7,47.1,1,6,1,88.5,2,1,MNC,Data Scientist,86.1,Placed,3. Low Skill + High CGPA,3.0000000000000004,1,High Risk,High,19.95
S132,5.83,Civil,2,1,1,0,1,93.0,8.7,43.4,2,2,1,89.5,3,1,Mid-size,Data Scientist,64.4,Placed,2. High Skill + Low CGPA,2.0,1,High Risk,High,25.310000000000002
